feature,AdaBoostRegressor,DecisionTreeRegressor,ExtraTreesRegressor,OrthogonalMatchingPursuit,avg_importance
project_prf_application_type_customer billing; financial transaction process_accounting,0.0,0.0,4.996447571828065e-09,0.0,1.2491118929570162e-09
external_eef_organisation_type_high tech,0.0,0.0,2.65754509244504e-09,0.0,6.6438627311126e-10
external_eef_organisation_type_public sector,0.0,0.0,1.3911870786779659e-09,0.0,3.4779676966949147e-10
project_prf_application_type_course management,0.0,0.0,1.192446067438257e-09,0.0,2.9811151685956426e-10
project_prf_application_type_project management,0.0,0.0,1.093075561818402e-09,0.0,2.732688904546005e-10
"External_EEF_Organisation_Type_education institution; electricity, gas, water; ieee",0.0,0.0,0.0,0.0,0.0
External_EEF_Industry_Sector_Financial,0.0,0.0,0.0,0.0,0.0
tech_tf_primary_programming_language_abap,0.0,0.0,0.0,0.0,0.0
Process_PMF_Development_Methodologies__unified_process,0.0,0.0,0.0,0.0,0.0
Process_PMF_Prototyping_Used_Yes,0.0,0.0,0.0,0.0,0.0
External_EEF_Industry_Sector_Manufacturing,0.0,0.0,0.0,0.0,0.0
External_EEF_Industry_Sector_Government,0.0,0.0,0.0,0.0,0.0
External_EEF_Industry_Sector_Education,0.0,0.0,0.0,0.0,0.0
Process_PMF_Development_Methodologies__timeboxing,0.0,0.0,0.0,0.0,0.0
Project_PRF_Application_Group_Infrastructure_Software,0.0,0.0,0.0,0.0,0.0
External_EEF_Industry_Sector_Banking,0.0,0.0,0.0,0.0,0.0
External_EEF_Data_Quality_Rating_D,0.0,0.0,0.0,0.0,0.0
Project_PRF_Application_Group_Mathematically_Intensive_Application,0.0,0.0,0.0,0.0,0.0
tech_tf_web_development_tech_tf_web_development,0.0,0.0,0.0,0.0,0.0
Project_PRF_Application_Group_Real_Time_Application,0.0,0.0,0.0,0.0,0.0
External_EEF_Industry_Sector_Medical & Health Care,0.0,0.0,0.0,0.0,0.0
Process_PMF_Development_Methodologies__multifunctional_teams,0.0,0.0,0.0,0.0,0.0
Process_PMF_Development_Methodologies__rapid_application_development__rad_,0.0,0.0,0.0,0.0,0.0
Process_PMF_Development_Methodologies__personal_software_process__psp_,0.0,0.0,0.0,0.0,0.0
External_EEF_Organisation_Type_community services; government; public administration,0.0,0.0,0.0,0.0,0.0
"External_EEF_Organisation_Type_financial, property & business services",0.0,0.0,0.0,0.0,0.0
External_EEF_Organisation_Type_community services,0.0,0.0,0.0,0.0,0.0
tech_tf_dbms_used_tech_tf_dbms_used,0.0,0.0,0.0,0.0,0.0
External_EEF_Organisation_Type_biotech,0.0,0.0,0.0,0.0,0.0
External_EEF_Organisation_Type_high tech,0.0,0.0,0.0,0.0,0.0
External_EEF_Organisation_Type_surveillance & security,0.0,0.0,0.0,0.0,0.0
External_EEF_Organisation_Type_banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,0.0,0.0,0.0,0.0,0.0
"External_EEF_Organisation_Type_banking; communications; community services; construction; defence; education institution; financial, property & business services; government; manufacturing; medical and health care; professional; real estate & property; transport & storage; wholesale & retail trade",0.0,0.0,0.0,0.0,0.0
External_EEF_Organisation_Type_transport & storage,0.0,0.0,0.0,0.0,0.0
Process_PMF_Development_Methodologies__agile_development,0.0,0.0,0.0,0.0,0.0
Process_PMF_Development_Methodologies__extreme_programming__xp_,0.0,0.0,0.0,0.0,0.0
Process_PMF_Development_Methodologies__imes_oom,0.0,0.0,0.0,0.0,0.0
External_EEF_Organisation_Type_banking,0.0,0.0,0.0,0.0,0.0
Process_PMF_Development_Methodologies__joint_application_development__jad_,0.0,0.0,0.0,0.0,0.0
External_EEF_Industry_Sector_Service Industry,0.0,0.0,0.0,0.0,0.0
External_EEF_Organisation_Type_education institution,0.0,0.0,0.0,0.0,0.0
Project_PRF_Application_Type_analysis management,0.0,0.0,0.0,0.0,0.0
Tech_TF_Client_Roles_data entry & validation; run a computer-human interface; web public interface,0.0,0.0,0.0,0.0,0.0
Project_PRF_Application_Type_auditing management,0.0,0.0,0.0,0.0,0.0
Tech_TF_Primary_Programming_Language_Java,0.0,0.0,0.0,0.0,0.0
Project_PRF_Team_Size_Group_61_70,0.0,0.0,0.0,0.0,0.0
Project_PRF_Team_Size_Group_Missing,0.0,0.0,0.0,0.0,0.0
Tech_TF_Architecture_Missing,0.0,0.0,0.0,0.0,0.0
Tech_TF_Client_Roles_Missing,0.0,0.0,0.0,0.0,0.0
Tech_TF_Tools_Used,0.0,0.0,0.0,0.0,0.0
Tech_TF_Primary_Programming_Language_Proprietary_Agile_Platform,0.0,0.0,0.0,0.0,0.0
